Algorithm,Actual,Similarity
0,AU001,0.3333333333333333
HR26BC5514,HR26BC5514,1.0
0,VU63GTY,0.0
0,MH14DX9937,0.0
0,TSLAS1,0.0
HORT,2151,0.0
,,1.0
,,1.0
0,30461C,0.2857142857142857
A0000A,AD000008,0.7142857142857143
,,1.0
NBYOND,NBYOND,1.0
A0000A,AD000008,0.7142857142857143
PGMN112,PGMN112,1.0
KA05HG1909,KA05MG1909,0.9
Y ORRY,YWORRY,0.8333333333333334
IND,KA09MA2662,0.0
0,WW55550,0.25
HR26BC5514,HR26BC5514,1.0
68B136,6861136,0.7692307692307693
,,1.0
0,NL60LXB,0.25
5B412344,SBA1234A,0.625
,,1.0
MH20B020,MH20BQ20,0.875
0,MH01AV8866,0.18181818181818182
CZI7KOD,CZ17KOD,0.8571428571428571
F1,F1,1.0
MH20EE7598,MH20EE7598,1.0
SHAKNBK,SHAKNBK,1.0
MPEACHW,MPEACHW,1.0
AP29BP585,AP29BP585,1.0
MS66YOB,M666YOB,0.8571428571428571
MK-35-32,MK-35-32,1.0
,,1.0
JAG2UAR,JA62UAR,0.8571428571428571
,,1.0
B2228HM,B2228HM,1.0
,,1.0
CAWSD,MANISA,0.36363636363636365
HR26BC5514,HR26BC5514,1.0
,,1.0
0,RP66887,0.0
KA05HG1909,KA05MG1909,0.9
,,1.0
0R654ND,OX65AWD,0.42857142857142855
OPECLUL,OPECLOL,0.8571428571428571
HR26BR9044,HR26BR9044,1.0
AP29BP585,AP29BP585,1.0
,,1.0
1268,1268,1.0
W9TLC,LI9TLC,0.7272727272727273
0,M17108,0.2857142857142857
WEAK44,U15474,0.3333333333333333
,,1.0
TN028L,TN02BL9,0.7692307692307693
,,1.0
CH01AN0001,CH01AN0001,1.0
,,1.0
F1,F1,1.0
,,1.0
EN,PEN15,0.5714285714285714
CH01AN0001,CH01AN0001,1.0
,,1.0
KL01CA2555,KL01CA2555,1.0
0,MH01BB550,0.2
7VIG263,7VIG263,1.0
DLBCX4850,DL8CX4850,0.8888888888888888
EL3BCD509Z,DL3CBD5092,0.7
DL49AK49,DL49AK49,1.0
MH20B020,MH20BQ20,0.875
IND,KA09MA2662,0.0
CCB025,MCB025,0.8333333333333334
PRI6ATE,PRIVATE,0.8571428571428571
,PT8557K,0.0
695299,695299,1.0
@LZCN5617,DL7CN5617,0.7777777777777778
MPLATE.COH,007PLATE.COM,0.7272727272727273
MS66YOB,M666YOB,0.8571428571428571
,MH0BB5992,0.0
LR33TEE,LR33TEE,1.0
GT,GT,1.0
0,TN21AU1153,0.0
IKACNDE,INACAR,0.46153846153846156
15-LK-10898,15-LK-10898,1.0
,,1.0
PRI6ATE,PRIVATE,0.8571428571428571
0,983,0.0
0u8p16,BJR216,0.3333333333333333
,UK17C09,0.0
KHY9051,WMY9051,0.7142857142857143
,,1.0
N4268,DL1N4268,0.7692307692307693
EVO9,EVO9FTW,0.7272727272727273
GOOD,GOOD,1.0
,52292Z,0.0
4SZ,4SZW590,0.6
MPEACHW,MPEACHW,1.0
JHKLWD,JHIIHAD,0.46153846153846156
VITLAF,V12LAF,0.6666666666666666
BRIT0001,BRIT0001,1.0
SWIFT,SWIFT,1.0
ZB064,ZB064MF-90-00,0.5555555555555556
EZ-SPF-4,26-SPF-4,0.75
ALR486,ALR486,1.0
,,1.0
CH01AN0001,CH01AN0001,1.0
KL5442670,KL54A2670,0.8888888888888888
KA03AB3380,KA03AB3380,1.0
74GLE,E4GLE,0.8
062VSM,889VSM,0.5
0,TN21BZ0768,0.18181818181818182
,,1.0
,,1.0
LR33TEE,LR33TEE,1.0
0,MH01AV8866,0.18181818181818182
MH01AA801Z,MH01AE8017,0.8
KA03AB3380,KA03AB3380,1.0
LR33TEE,LR33TEE,1.0
KWID,KWID,1.0
CZI7KOD,CZ17KOD,0.8571428571428571
NBYOND,NBYOND,1.0
NOTACOP,NOTACOP,1.0
HR26BU0380,HR26BU0380,1.0
K817GR,K817GR,1.0
V-8,V-8,1.0
,,1.0
MH01AA801Z,MH01AE8017,0.8
F65022,F65022,1.0
KL65H4383,KL65H4383,1.0
DID,DID2,0.8571428571428571
,,1.0
CH9984,MH20CH9984,0.75
OPECLUL,OPECLOL,0.8571428571428571
AFR2011,AFR2011,1.0
,,1.0
KAD3MG2Z84,KA03MG2784,0.8
P055565,P055565,1.0
,,1.0
EZ-SPF-4,26-SPF-4,0.75
,,1.0
0,KL8AU777,0.0
JAG2UAR,JA62UAR,0.8571428571428571
1S4523,TN19S4523,0.8
CCB025,MCB025,0.8333333333333334
,,1.0
,,1.0
ALR33TEE,LR33TEE,0.9333333333333333
,GB18TCE,0.0
,D13,0.0
"""@pitutubto""",UP16TC1366,0.0
,IM4U555,0.0
P6J03JL0126,GJ03JL0126,0.8571428571428571
,P00SILYR,0.0
,闽AD00008,0.0
,15LK10898,0.0
,1CDAF,0.0
,3SAM123,0.0
,PRENUP,0.0
I,KA03MG2784,0.0
8,2180127,0.25
,HR26BR9044,0.0
,TS009TC268,0.0
,TS009TC268,0.0
,TN37C52765,0.0
,MH12DE1433,0.0
,KA42N0852,0.0
PGoMN112,PGMN11,0.8571428571428571
,H982FKL,0.0
DAN54P,DAN54P,1.0
GOTzPOO,GOT2POO,0.8571428571428571
MH20EJ0364,MH20EJ0364,1.0
,YD63LB,0.0
,OKLA,0.0
AC5957,KA01AC5957,0.75
MH20EE7598,MH20EE7598,1.0
IM4U5333,104u5333,0.625
0,TS08ER1643,0.18181818181818182
ICYAH8N,ICYAKSE,0.5714285714285714
,MH02CB4545,0.0
2010],FAMU2010,0.6153846153846154
M771278,M771276,0.8571428571428571
74Ch9984/,MH20CH9984,0.5263157894736842
QF7222,?7222,0.7272727272727273
,KUV100,0.0
,FEWS737,0.0
,P018299,0.0
,YESBOSS,0.0
,RX61GDU,0.0
BRIT001,BRIT001,1.0
,MANISA,0.0
BAIMAR,BATMAN,0.6666666666666666
Czi7kod,CZI7KOD,0.2857142857142857
,A8654B,0.0
,MMN3016306,0.0
,6YCTB69,0.0
,MH01DB0001,0.0
8,6861136,0.25
,KA09MA2662,0.0
,MIDLYPH,0.0
"""@LZCN5617""",DL7CN5617,0.7
,S32H,0.0
,SOV8199,0.0
,KA02A6579,0.0
,AK0188,0.0
,01CC1A0001,0.0
,"6341,8544",0.0
145,145,1.0
,LAMBO,0.0
,SDN7484U,0.0
,M17108FV1232,0.0
,G526JHD,0.0
KLOLCC50,KL01CC50,0.75
,KL54A2670,0.0
,HNYCHIL3,0.0
,"SGQ51??U,SGQ51??U",0.0
,LAWYER,0.0
miDAS,M906090K,0.0
,HR26BC5514,0.0
,EAB0001,0.0
,4GETOIL,0.0
MIIM,TN21AT8349,0.0
8,PUI8BES,0.25
,NBEYOND,0.0
,6PIV728,0.0
,J98257,0.0
,"MH02BB2,MH02JA2",0.0
ALR486,ALR486,1.0
,FALLYOU,0.0
,LOLOIL,0.0
,700V,0.0
TN99F2378,TN99F2378,1.0
,VI2LAF,0.0
,988BCK,0.0
,DL8CX4850,0.0
,16M,0.0
,MA6751,0.0
,HR26CB1900,0.0
DZIZYXR,DZ17YXR,0.7142857142857143
,E8OLA,0.0
(notacop],NOTACOP,0.0
WpLATECOH,007PLATE.COM,0.5714285714285714
,VX54FVL,0.0
,TS009TC268,0.0
,TS009TC268,0.0
Gkipgas],SKIPGAS,0.13333333333333333
GOOGLE,GOOGLE,1.0
,OMGMOOV,0.0
,KA03AB3380,0.0
,4728,0.0
,"CPSSVXV,PY56BXU",0.0
,BIQ612,0.0
,CB7R605,0.0
,EIIZG135,0.0
BKTP665,BKTP665,1.0
,BSMART2,0.0
,"PZ62FDX,PZ62FDZ",0.0
,R362GGL,0.0
,DX103,0.0
,MPEACHW,0.0
,WIW123,0.0
,DL3CBD5092,0.0
TN21BZ0768,TN21BZ0768,1.0
,MH20BQ20,0.0
CHOIANOoOD,CH01AN0001,0.4
,e20,0.0
,HR26CE1485,0.0
TN21BC6225,TN21BC6225,1.0
,S7JDW,0.0
Cahmel&Dave,Carmel&Dave,0.9090909090909091
,B2228HM,0.0
BYHA[361,BYHM136,0.6666666666666666
,4141,0.0
MhilGn9239,MH14GN9239,0.6
,W718AX,0.0
,2089563,0.0
,CRAIG,0.0
,EV09FTW,0.0
AB44887,AB44887,1.0
HR264Z5927,HR26AZ5927,0.9
,KA03MR325,0.0
,"5H798,5H799",0.0
exhL^324,BKWL324,0.5333333333333333
,DZVG49,0.0
Ih12Mr0gi,MH12MR0613,0.42105263157894735
ICYAKSE,ICYAH8N,0.5714285714285714
,REAP3R,0.0
PoriCB,9214,0.0
0,OX65AWD,0.0
662VSM,889VSM,0.5
,"066RAF,067RAF",0.0
BHH,BMW,0.3333333333333333
,WH141C3687,0.0
,1268,0.0
,PETES,0.0
,RK977AF,0.0
,EWPOOP,0.0
,VIPER,0.0
,"6431,8544",0.0
DFUN,DRUNK,0.6666666666666666
MH1Z98B922,MH12NE8922,0.7
172TMJ,172TMJ,1.0
,BAD231,0.0
,COOP367,0.0
VUHZOEET:7596,MH20EE7596,0.6086956521739131
,P3RVP,0.0
,KAISER,0.0
,BCG986,0.0
IND,KLBOSS,0.0
,DL49AK49,0.0
